1;1;D
1;2;D
1;3;R
1;4;A
1;5;R
1;6;R
1;7;EC
1;8;A
2;1;R
2;2;D
2;3;D
2;4;A
2;5;D
2;6;D
2;7;R
2;8;A
3;1;A
3;2;EC
3;3;A
3;4;D
3;5;A
3;6;D
3;7;D
3;8;D
4;1;A
4;2;A
4;3;D
4;4;A
4;5;D
4;6;R
4;7;D
4;8;A
5;1;A
5;2;R
5;3;D
5;4;D
5;5;A
5;6;EC
5;7;A
5;8;D
6;1;D
6;2;A
6;3;R
6;4;A
6;5;R
6;6;D
6;7;A
6;8;D
7;1;R
7;2;A
7;3;D
7;4;D
7;5;D
7;6;D
7;7;D
7;8;A
8;1;D
8;2;R
8;3;R
8;4;R
8;5;R
8;6;D
8;7;D
8;8;R
9;1;EC
9;2;A
9;3;A
9;4;D
9;5;EC
9;6;EC
9;7;A
9;8;R
10;1;R
10;2;D
10;3;R
10;4;R
10;5;R
10;6;A
10;7;A
10;8;R
11;1;A
11;2;A
11;3;D
11;4;D
11;5;D
11;6;R
11;7;D
11;8;EC
12;1;R
12;2;R
12;3;D
12;4;R
12;5;A
12;6;D
12;7;D
12;8;A
13;1;R
13;2;A
13;3;R
13;4;A
13;5;R
13;6;D
13;7;A
13;8;A
14;1;D
14;2;D
14;3;D
14;4;D
14;5;D
14;6;D
14;7;R
14;8;D
15;1;A
15;2;A
15;3;R
15;4;R
15;5;D
15;6;R
15;7;D
15;8;R
16;1;R
16;2;A
16;3;R
16;4;A
16;5;R
16;6;D
16;7;R
16;8;D
17;1;A
17;2;R
17;3;A
17;4;R
17;5;D
17;6;R
17;7;D
17;8;R
18;1;A
18;2;A
18;3;R
18;4;R
18;5;R
18;6;D
18;7;R
18;8;EC
19;1;A
19;2;EC
19;3;R
19;4;A
19;5;A
19;6;R
19;7;R
19;8;D
20;1;R
20;2;A
20;3;R
20;4;A
20;5;R
20;6;R
20;7;R
20;8;A
21;1;R
21;2;R
21;3;D
21;4;D
21;5;R
21;6;EC
21;7;A
21;8;D
22;1;R
22;2;D
22;3;EC
22;4;A
22;5;A
22;6;R
22;7;D
22;8;R
23;1;A
23;2;A
23;3;R
23;4;D
23;5;R
23;6;A
23;7;A
23;8;D
24;1;D
24;2;R
24;3;A
24;4;D
24;5;D
24;6;D
24;7;D
24;8;R
25;1;A
25;2;D
25;3;EC
25;4;R
25;5;D
25;6;A
25;7;R
25;8;D
26;1;R
26;2;D
26;3;D
26;4;D
26;5;R
26;6;R
26;7;D
26;8;A
27;1;A
27;2;D
27;3;R
27;4;A
27;5;R
27;6;D
27;7;R
27;8;R
28;1;D
28;2;A
28;3;A
28;4;R
28;5;A
28;6;D
28;7;D
28;8;D
29;1;A
29;2;A
29;3;R
29;4;A
29;5;EC
29;6;EC
29;7;R
29;8;D
30;1;A
30;2;D
30;3;A
30;4;D
30;5;A
30;6;D
30;7;D
30;8;A
31;1;D
31;2;R
31;3;A
31;4;R
31;5;A
31;6;D
31;7;A
31;8;R
32;1;A
32;2;A
32;3;D
